tract_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
40109108317,1928,525,1020,383,398,713,817,4,62,13,76,103,90,217,48,39,80,30,137,42,133,231,272,24,178,50,99,1540,223,42,79,4,40,1808,120,161,373,499,370,974,954
40109108318,2623,508,1460,655,565,739,1319,4,127,21,103,130,98,250,53,50,140,43,194,43,181,282,412,49,233,59,151,1896,374,48,235,1,69,2498,125,202,606,699,608,1372,1251
40109108402,767,171,412,184,156,230,381,1,51,5,42,38,29,82,19,17,45,13,49,17,50,85,86,11,51,24,52,679,36,17,17,0,18,737,30,65,167,197,167,386,381
40109108403,1210,276,664,270,215,454,541,0,59,20,51,64,59,114,26,26,68,23,97,26,88,109,154,13,106,32,75,1044,83,30,19,0,34,1145,65,114,236,306,278,599,611
40109108404,1496,421,789,286,298,569,629,2,66,21,76,49,54,153,32,31,74,23,132,30,111,129,235,27,126,45,80,1158,219,38,39,1,41,1423,73,132,310,380,253,730,766
40109108504,3674,928,1752,994,729,1241,1704,4,191,28,114,174,168,387,71,64,201,64,266,70,263,351,608,58,304,82,206,2877,436,101,188,4,68,3500,174,278,764,917,787,1785,1889
40109108506,1690,343,907,440,362,475,853,1,71,12,69,62,90,192,42,38,108,37,124,43,142,158,213,33,124,41,90,1381,206,23,34,3,43,1612,78,153,343,432,419,864,826
40109108507,557,108,284,165,112,144,301,2,30,11,25,26,22,67,14,5,40,10,43,16,33,50,85,4,34,16,24,467,56,11,7,0,16,533,24,43,126,152,128,249,308
40109108508,1020,236,523,261,266,350,404,1,35,2,45,47,41,103,26,14,46,17,71,24,94,80,133,19,138,24,60,772,136,34,41,2,35,948,72,87,233,261,203,499,521
40109108511,3458,767,2006,685,644,856,1958,2,236,30,116,139,136,327,79,86,229,54,263,95,251,310,555,52,264,77,157,2837,270,82,202,3,64,3309,149,251,683,886,871,1854,1604
40109108512,2196,365,1344,487,418,462,1316,3,125,26,117,109,109,186,46,32,113,38,189,56,143,198,377,27,169,51,82,1944,69,65,79,0,39,2114,82,166,481,610,574,1178,1018
40109108513,1858,367,955,536,392,650,816,1,49,15,79,88,69,184,59,35,94,26,126,27,168,180,294,20,182,58,104,1465,253,37,63,2,38,1741,117,149,438,493,411,904,954
40109108514,2352,608,1229,515,586,1003,763,1,53,9,77,144,117,293,66,31,108,43,110,39,208,183,376,27,288,62,117,1575,592,48,63,1,73,2218,134,214,531,579,420,1131,1221
40109108515,2105,480,1051,574,502,769,834,1,60,17,75,100,84,280,50,35,103,36,128,47,178,198,313,37,184,60,119,1646,289,46,58,3,63,2020,85,167,488,544,426,1050,1055
