work_tract,home_tract,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03
40109100100,40109107808,1,1,0,0,0,1,0,0,0,1
40109100100,40109107809,5,0,5,0,0,3,2,0,0,5
40109100100,40109107810,1,1,0,0,0,1,0,0,0,1
40109100100,40109108003,5,2,3,0,2,1,2,0,0,5
40109100100,40109108005,6,1,5,0,0,3,3,0,0,6
40109100100,40109108006,5,3,1,1,2,3,0,0,0,5
40109100100,40109108008,1,0,1,0,0,1,0,0,0,1
40109100100,40109108009,4,0,2,2,2,2,0,0,0,4
40109100100,40109108010,2,0,2,0,0,2,0,0,0,2
40109100100,40109108011,6,2,3,1,2,4,0,0,0,6
40109100100,40109108101,11,1,8,2,2,1,8,2,0,9
40109100100,40109108106,5,0,4,1,0,3,2,0,1,4
40109100100,40109108107,8,0,6,2,0,0,8,0,0,8
40109100100,40109108109,21,7,4,10,6,9,6,2,0,19
40109100100,40109108110,3,0,2,1,3,0,0,0,0,3
40109100100,40109108113,16,3,8,5,10,2,4,0,0,16
40109100100,40109108114,6,0,4,2,0,4,2,0,0,6
40109100100,40109108201,2,1,0,1,1,1,0,0,0,2
40109100100,40109108203,7,5,2,0,4,3,0,0,0,7
40109100100,40109108204,7,0,3,4,2,4,1,0,0,7
40109100100,40109108206,12,1,5,6,6,3,3,1,3,8
40109100100,40109108207,2,1,1,0,0,2,0,0,0,2
40109100100,40109108208,13,3,3,7,4,1,8,0,0,13
40109100100,40109108213,26,2,16,8,10,6,10,0,10,16
40109100100,40109108215,2,0,0,2,2,0,0,1,0,1
40109100100,40109108216,4,1,1,2,0,1,3,0,0,4
40109100100,40109108217,18,3,14,1,9,1,8,0,4,14
40109100100,40109108218,22,1,18,3,1,7,14,1,3,18
40109100100,40109108219,12,2,6,4,4,6,2,0,1,11
40109100100,40109108220,10,2,7,1,5,2,3,0,4,6
40109100100,40109108221,17,4,11,2,2,9,6,1,0,16
40109100100,40109108301,2,1,1,0,1,1,0,0,1,1
40109100100,40109108302,7,1,6,0,0,3,4,2,0,5
40109100100,40109108303,10,3,5,2,2,5,3,0,1,9
40109100100,40109108304,5,5,0,0,1,3,1,1,1,3
40109100100,40109108307,9,2,6,1,2,5,2,0,0,9
40109100100,40109108309,14,1,7,6,5,9,0,1,0,13
40109100100,40109108310,10,6,2,2,4,2,4,0,3,7
40109100100,40109108313,18,8,6,4,10,8,0,0,1,17
40109100100,40109108314,3,1,2,0,2,1,0,0,0,3
40109100100,40109108315,15,3,10,2,9,1,5,0,0,15
40109100100,40109108316,10,6,4,0,6,4,0,0,0,10
40109100100,40109108317,2,1,1,0,1,1,0,0,1,1
40109100100,40109108318,15,3,8,4,4,4,7,0,1,14
40109100100,40109108402,12,4,4,4,8,2,2,0,5,7
40109100100,40109108403,5,0,5,0,5,0,0,0,2,3
40109100100,40109108404,6,1,3,2,3,0,3,0,1,5
40109100100,40109108504,22,14,3,5,4,14,4,0,1,21
40109100100,40109108506,23,5,11,7,10,5,8,1,10,12
40109100100,40109108507,5,2,1,2,1,1,3,0,2,3
40109100100,40109108508,15,5,10,0,10,4,1,0,5,10
40109100100,40109108511,19,6,12,1,2,8,9,1,6,12
40109100100,40109108512,13,3,6,4,8,3,2,0,0,13
40109100100,40109108513,16,3,5,8,8,5,3,0,0,16
40109100100,40109108514,10,1,5,4,4,2,4,0,2,8
40109100100,40109108515,14,7,5,2,5,3,6,0,0,14
40109100100,40109108519,10,4,4,2,3,6,1,0,1,9
40109100100,40109108520,7,1,2,4,1,2,4,0,3,4
40109100100,40109108521,5,2,1,2,5,0,0,2,0,3
40109100100,40109108523,22,6,10,6,10,7,5,0,2,20
40109100100,40109108524,6,0,6,0,3,0,3,0,2,4
40109100100,40109108525,10,2,6,2,3,6,1,1,1,8
40109100100,40109108526,13,5,8,0,0,10,3,0,6,7
40109100100,40109108527,14,8,2,4,4,7,3,1,6,7
40109100100,40109108528,5,1,3,1,5,0,0,0,2,3
40109100100,40109108529,11,2,4,5,0,6,5,0,6,5
40109100100,40109108530,6,3,3,0,2,3,1,0,0,6
40109100100,40109108601,5,0,4,1,0,3,2,0,2,3
40109100100,40109108602,1,0,1,0,1,0,0,0,0,1
40109100100,40109108603,2,0,0,2,1,1,0,0,1,1
40109100100,40109108703,4,1,3,0,0,2,2,0,1,3
40109100100,40109108704,10,4,4,2,8,2,0,0,2,8
40109100100,40109108706,4,1,2,1,0,3,1,0,0,4
40109100100,40109108707,1,1,0,0,0,1,0,0,0,1
40109100100,40109108709,4,0,1,3,2,1,1,0,0,4
40109100100,40109108801,8,0,8,0,0,1,7,0,3,5
40109100100,40109108802,2,2,0,0,0,2,0,0,1,1
