"work_tract","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05","createdate"
"40079040302",774,135,475,164,121,383,270,82,58,0,7,40,0,234,12,0,0,1,7,0,324,0,7,0,1,0,1,623,39,42,55,0,15,651,123,93,220,199,127,564,210,0,0,0,0,0,0,0,0,0,0,403418380
"40079040303",220,60,118,42,43,99,78,18,83,12,3,4,1,19,13,0,0,0,6,0,0,0,61,0,0,0,0,177,5,28,1,0,9,212,8,34,59,45,22,148,72,0,0,0,0,0,0,0,0,0,0,201709190
"40079040401",2061,613,1015,433,817,790,454,0,2,4,16,8,27,623,1,32,181,8,55,4,11,390,277,44,299,79,0,1720,66,196,15,1,63,1978,83,172,443,486,347,716,1345,0,0,0,0,0,0,0,0,0,0,766494922
"40079040402",2585,545,1412,628,748,1292,545,7,15,21,119,397,32,182,11,13,91,16,108,0,15,326,617,38,186,50,341,2173,61,242,12,1,96,2442,143,225,654,743,418,1096,1489,0,0,0,0,0,0,0,0,0,0,1371622492
"40079040500",814,147,482,185,178,335,301,6,103,34,172,14,51,28,0,5,5,0,25,0,16,271,0,12,16,19,37,665,10,94,4,5,36,772,42,83,200,222,162,451,363,0,0,0,0,0,0,0,0,0,0,847178598
"40079040601",1184,285,658,241,342,643,199,36,0,5,8,510,0,100,0,0,41,0,5,0,95,156,58,1,83,27,59,986,25,119,18,2,34,1017,167,172,299,277,151,619,565,0,0,0,0,0,0,0,0,0,0,484102056
"40079040602",408,82,221,105,134,171,103,0,8,5,6,0,14,31,0,0,0,0,4,0,7,139,116,0,0,1,77,336,6,49,1,0,16,395,13,32,108,110,76,134,274,0,0,0,0,0,0,0,0,0,0,484102056
"40079040700",1219,318,627,274,252,716,251,13,0,2,4,0,0,83,0,0,13,2,16,0,5,56,79,0,19,1,926,673,33,418,16,0,79,1131,88,108,347,315,131,436,783,0,0,0,0,0,0,0,0,0,0,423589299
"40081961100",1534,374,814,346,368,685,481,11,47,0,30,253,99,144,243,4,55,2,43,2,52,94,183,0,190,5,77,1327,61,87,8,1,50,1477,57,137,448,374,201,873,661,0,0,0,0,0,0,0,0,0,0,1190084221
"40081961200",305,62,164,79,67,104,134,0,48,7,68,6,5,21,6,0,6,3,0,0,0,89,19,5,0,7,15,257,6,33,0,0,9,298,7,25,106,69,43,164,141,0,0,0,0,0,0,0,0,0,0,504272975
"40081961300",390,90,197,103,82,163,145,0,15,0,169,29,4,20,8,0,8,0,7,0,1,103,8,0,4,2,12,349,6,26,2,0,7,367,23,55,121,74,50,241,149,0,0,0,0,0,0,0,0,0,0,766494922
"40081961400",788,187,400,201,205,370,213,0,10,0,83,98,20,41,1,0,29,0,8,0,0,132,90,217,28,10,21,574,21,165,9,1,18,730,58,83,197,193,128,362,426,0,0,0,0,0,0,0,0,0,0,766494922
