FID,h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate
2743,401091060003008,7,1,4,2,3,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,5,1,0,0,0,7,0,2,1,3,0,0,7,20170919
2744,401091060003009,18,4,5,9,6,5,7,1,0,0,1,0,0,1,0,0,0,2,0,1,2,2,2,0,3,0,3,2,16,0,0,0,0,14,4,3,3,5,3,9,9,20170919
2745,401091060003010,32,6,15,11,8,14,10,0,4,0,0,1,0,4,1,1,3,1,0,1,4,4,5,0,1,0,2,6,26,0,0,0,0,31,1,4,6,7,9,14,18,20170919
2746,401091060003011,11,3,4,4,2,3,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,2,0,2,3,7,0,0,0,1,11,0,0,3,4,1,5,6,20170919
2747,401091060003012,5,0,5,0,1,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,4,0,0,0,0,5,0,1,1,1,2,3,2,20170919
2748,401091060003013,5,0,1,4,0,2,3,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0,5,0,0,2,2,1,2,3,20170919
2749,401091060003014,14,1,7,6,4,1,9,0,1,1,1,0,0,2,0,1,0,0,0,1,2,1,2,0,2,0,0,6,7,1,0,0,0,14,0,1,2,3,7,7,7,20170919
2750,401091060003015,5,2,3,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,3,1,0,0,0,5,0,0,1,1,1,3,2,20170919
2751,401091060003016,20,4,7,9,7,7,6,0,0,0,0,3,1,1,2,0,0,0,1,0,0,3,3,0,3,0,3,4,15,0,1,0,0,20,0,1,7,3,5,7,13,20170919
2752,401091060003017,21,4,7,10,3,6,12,0,1,0,0,2,0,1,0,0,3,0,3,0,0,4,4,0,2,0,1,7,13,1,0,0,0,18,3,1,9,4,3,14,7,20170919
2753,401091060003018,3,2,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,1,3,0,20170919
2754,401091060003019,8,1,4,3,3,3,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,0,1,0,1,2,6,0,0,0,0,8,0,1,0,4,2,3,5,20170919
2755,401091060003020,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,2,0,20170919
2756,401091060003021,9,2,5,2,4,1,4,0,2,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,2,7,0,0,0,0,8,1,1,2,2,2,3,6,20170919
2757,401091061001002,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,1,0,1,1,20170919
2758,401091061001003,19,3,14,2,8,4,7,0,1,0,0,0,0,2,0,0,2,1,2,1,1,0,3,2,1,2,1,17,2,0,0,0,0,11,8,3,6,3,4,7,12,20170919
2759,401091061001004,3,2,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,3,0,0,1,0,0,0,3,20170919
2760,401091061001005,5,1,3,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,5,0,0,0,0,0,5,0,0,2,2,0,1,4,20170919
2761,401091061001007,29,6,17,6,11,7,11,0,2,0,4,0,1,1,0,0,0,0,0,0,0,4,6,3,4,0,4,21,8,0,0,0,0,26,3,1,9,11,2,16,13,20170919
2762,401091061001008,55,14,23,18,17,24,14,0,1,1,2,6,0,6,0,2,1,1,3,0,6,8,10,1,3,1,3,22,33,0,0,0,0,55,0,3,6,17,15,20,35,20170919
2763,401091061001011,15,3,6,6,4,4,7,0,0,0,1,1,0,2,0,0,1,0,0,0,1,2,2,0,2,2,1,13,2,0,0,0,0,15,0,0,2,6,4,2,13,20170919
2764,401091061001012,5,1,3,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,3,0,0,0,0,5,0,2,0,1,1,4,1,20170919
2765,401091061001013,9,3,5,1,5,2,2,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,2,0,1,0,0,4,5,0,0,0,0,9,0,1,1,3,1,5,4,20170919
2766,401091061001014,12,1,8,3,4,4,4,0,0,1,0,0,0,2,0,1,1,1,1,0,0,1,1,1,1,0,1,3,9,0,0,0,0,12,0,0,5,5,1,4,8,20170919
2767,401091061001015,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,1,0,0,2,1,20170919
2768,401091061001016,6,0,3,3,1,1,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,5,1,0,0,0,0,6,0,0,0,4,2,5,1,20170919
2769,401091061001017,4,1,2,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,4,0,1,1,1,0,3,1,20170919
2770,401091061001042,16,4,8,4,6,6,4,0,0,0,1,2,0,1,0,1,0,0,0,1,3,1,0,1,2,1,2,12,1,3,0,0,0,14,2,3,4,4,1,10,6,20170919
2771,401091061001044,6,1,4,1,0,2,4,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,2,0,0,0,0,6,0,0,3,0,2,4,2,20170919
2772,401091061001050,6,1,4,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,6,0,0,0,0,6,0,0,3,1,1,0,6,20170919
2773,401091061002009,15,5,6,4,2,8,5,0,0,0,2,1,1,1,1,1,2,0,1,0,0,1,1,1,1,1,0,13,2,0,0,0,0,7,8,1,3,4,2,6,9,20170919
2774,401091061002019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,20170919
2775,401091061002023,13,4,6,3,4,4,5,0,0,0,1,1,0,0,0,0,1,0,2,0,1,1,2,1,1,0,2,9,4,0,0,0,0,13,0,0,5,4,0,3,10,20170919
2776,401091061002032,155,46,66,43,51,60,44,0,6,0,5,12,5,21,6,3,6,1,8,1,10,13,26,6,18,2,6,84,57,8,1,0,5,146,9,14,40,34,21,66,89,20170919
2777,401091061002038,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,20170919
2778,401091061002044,9,2,5,2,2,3,4,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,2,0,1,0,0,0,9,0,0,0,0,9,0,1,0,2,4,5,4,20170919
2779,401091061002045,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,1,0,2,0,20170919
